1322855,nan,9,31
359253,-2057.1990703279753,0.018699999999999762,11,25
71364,1443.4168696686456,0.014349999999999953,11,26
101647,0.0,0.005000000000000071,11,27
76586,-1228.3483423098928,0.003650000000000375,11,28
294465,-921.9480817890258,0.004300000000000282,11,29
163693,-922.5376255246331,0.013500000000000158,11,30
171155,0.0,0.013000000000000256,11,31
51917,1229.9191204316885,0.0035000000000003696,11,32
94799,-614.8284946618787,-0.0010000000000001564,11,33
145312,-1230.4436062606783,0.0009999999999994458,11,34
174550,-615.6155591119373,0.006999999999999673,11,35
59846,1839.9095570362788,0.00501999999999967,11,36
87090,-608.941017433473,1.0000000000331967e-05,11,37
153897,-3079.3929319719027,0.006000000000000583,11,38
91388,0.0,0.01199000000000048,11,39
119918,-1233.599939109986,0.020980000000000488,11,40
73081,-611.022484157786,0.017979999999999663,11,41
145671,-12.346555762654532,0.009009999999999253,11,42
224793,-1846.9997843881813,0.013009999999999522,11,43
228066,-927.4799682268408,0.014010000000000035,11,44
324009,-2779.8257005011706,0.022490000000000166,11,45
255631,-1246.158565401778,0.02796999999999983,11,46
170303,620.1139321300175,0.02049999999999983,11,47
200694,-3569.30058256566,0.023510000000000277,11,48
221049,1708.1585817457778,0.012770000000000793,11,49
392970,-807.241096730138,0.009600000000000365,11,50
229373,2048.2691654200025,0.0005499999999994288,11,51
228711,0.0,-0.01150000000000091,11,52
169245,-6.202485563377991,-0.007280000000000087,11,53
70355,626.3164176933956,-0.00858999999999952,11,54
122885,619.8475029357553,-0.0049999999999997165,11,55
256592,-4046.2063853912155,0.007029999999999959,11,56
332670,-4824.332440493961,0.030039999999999623,11,57
104185,-1079.1215817205214,0.04426999999999986,11,58
148144,1945.5770370120363,0.03524000000000029,11,59
200361,-1945.5770370120363,0.01756999999999991,12,0
175798,1870.7956469201647,-0.0025399999999997647,12,1
150520,1245.8507172237178,-0.009880000000000068,12,2
149603,622.5221416498173,-0.010760000000000148,12,3
131744,1865.9563380101217,-0.021000000000000088,12,4
121446,621.4495210841164,-0.01799999999999997,12,5
138113,-621.4495210841164,-0.011999999999999745,12,6
190816,-1554.7959699571124,-0.0009999999999998012,12,7
119993,933.0786404095903,0.0055000000000003275,12,8
115679,1243.1668506316385,0.0010000000000001564,12,9
42568,0.0,-0.005499999999999616,12,10
70008,-621.4495210841164,-0.007000000000000384,12,11
50567,621.4495210841164,-0.0030000000000001137,12,12
51008,-621.4495210841164,0.0019999999999996024,12,13
82000,-1865.9563380101217,0.00799999999999983,12,14
83302,-1245.3130172351835,0.014000000000000058,12,15
84442,1120.8300764886658,0.01339999999999968,12,16
249898,-5487.910291610554,0.02420000000000009,12,17
251675,-2501.4224574144705,0.03299999999999983,12,18
171728,-626.0338743881988,0.036800000000000214,12,19
159735,-532.3424671086485,0.0343,12,20
116730,1784.1386765677926,0.00785000000000018,12,21
365033,1250.7109937107684,-0.007999999999999475,12,22
114638,-625.2199625000899,-0.010849999999999938,12,23
102249,-1251.2533662816238,-0.00470000000000006,12,24
141709,-607.2489050081842,0.0069399999999998135,12,25
223403,1545.7906539637634,0.005969999999999587,12,26
165208,-3444.3088415665457,0.010499999999999688,12,27
129574,3131.529427681912,0.0010300000000000864,12,28
144709,3748.884848906897,-0.015440000000000254,12,29
136843,1247.4666068111874,-0.0259999999999998,12,30
167727,1246.388881747329,-0.0379999999999999,12,31
112198,622.7908755853662,-0.026000000000000512,12,32
142495,1866.761150112417,-0.018999999999999774,12,33
131839,-1244.2390084626,-0.011999999999999745,12,34
112847,622.2536395315003,-0.007000000000000029,12,35
62446,0.0,-0.0030000000000001137,12,36
101988,-1867.5666567666838,0.006999999999999673,12,37
53254,0.0,0.007000000000000029,12,38
94102,-1246.388881747329,0.013000000000000256,12,39
